Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
30.8,29.9,,,,,,,,32.0,,,,,,,18.4,,17.53,
77.8,49.4,,,,,,,,31.3,,,,,,,10.1,,17.53,
78.3,37.7,,,,,,,,26.2,,,,,,,21.5,,17.53,
87.2,35.3,,,,,,,,25.5,,,,,,,10,,17.53,
86.5,31.8,,,,,,,,27.6,,,,,,,17.1,,17.53,
75.3,35.3,,,,,,,,27.6,,,,,,,15.6,,17.53,
74.1,51.6,,,,,,,,23.1,,,,,,,13.2,,17.53,
78,39.1,,,,,,,,28.3,,,,,,,14.5,,17.53,
79.7,35.5,,,,,,,,24.1,,,,,,,17.6,,17.53,
85.5,43.3,,,,,,,,29.5,,,,,,,18.6,,17.53,
75.4,37.7,,,,,,,,31.5,,,,,,,24,,17.53,
64.9,32.7,,,,,,,,32.0,,,,,,,19.2,,17.53,
50,31,,,,,,,,26.3,,,,,,,17.8,,17.53,
17.4,34.2,,,,,,,,34.0,,,,,,,7.9,,17.53,
22.7,36.7,,,,,,,,29.9,,,,,,,9.3,,17.53,
32,33.6,,,,,,,,33.0,,,,,,,17.6,,17.53,
24.1,27.9,,,,,,,,29.1,,,,,,,12,,17.53,
11.1,40.7,,,,,,,,27.0,,,,,,,17.4,,17.53,
80.8,22.7,,,,,,,,25.5,,,,,,,22,,17.53,
96.4,26.7,,,,,,,,30.0,,,,,,,10.2,,17.53,
96.6,29.1,,,,,,,,32.7,,,,,,,,,17.53,
89.9,33.4,,,,,,,,27.2,,,,,,,,,17.53,
94,55.3,,,,,,,,27.7,,,,,,,,,17.53,
634.9,31.9,,,,,,,,29.8,,,,,,,,,17.53,
541,36.4,,,,,,,,31.3,,,,,,,,,17.53,
489.5,33,,,,,,,,24.0,,,,,,,,,17.53,
67,36.6,,,,,,,,24.0,,,,,,,,,17.53,
60.1,52.6,,,,,,,,30.4,,,,,,,,,17.53,
47,29.6,,,,,,,,30.4,,,,,,,,,17.53,
