Scientific name,common name ,weight
gobidae sp,goby,15.6
gobidae sp,goby,13.2
gobidae sp,goby,14.5
gobidae sp,goby,17.6
gobidae sp,goby,18.6
gobidae sp,goby,24
gobidae sp,goby,19.2
gobidae sp,goby,17.8
gobidae sp,goby,7.9
gobidae sp,goby,9.3
gobidae sp,goby,17.6
gobidae sp,goby,12
gobidae sp,goby,17.4
gobidae sp,goby,22
gobidae sp,goby,10.2
Engraulis encrasicholus,anchovy,9
Engraulis encrasicholus,anchovy,7.8
Engraulis encrasicholus,anchovy,10.2
Engraulis encrasicholus,anchovy,8.8
Engraulis encrasicholus,anchovy,9.2
Engraulis encrasicholus,anchovy,11
Engraulis encrasicholus,anchovy,10.6
Engraulis encrasicholus,anchovy,9.8
Engraulis encrasicholus,anchovy,9.2
Engraulis encrasicholus,anchovy,9.9
Engraulis encrasicholus,anchovy,8.3
Engraulis encrasicholus,anchovy,9.9
Engraulis encrasicholus,anchovy,7.7
Engraulis encrasicholus,anchovy,8.8
Engraulis encrasicholus,anchovy,8.5
Engraulis encrasicholus,anchovy,9.9
Engraulis encrasicholus,anchovy,7.9
Engraulis encrasicholus,anchovy,6.4
Engraulis encrasicholus,anchovy,10.2
Engraulis encrasicholus,anchovy,8.3
Engraulis encrasicholus,anchovy,10.9
Engraulis encrasicholus,anchovy,6.9
Engraulis encrasicholus,anchovy,7.6
Engraulis encrasicholus,anchovy,11
Engraulis encrasicholus,anchovy,10.7
Engraulis encrasicholus,anchovy,7.2
Engraulis encrasicholus,anchovy,7.8
Engraulis encrasicholus,anchovy,6.8
Engraulis encrasicholus,anchovy,9.9
Engraulis encrasicholus,anchovy,7.5
Engraulis encrasicholus,anchovy,8.7
Engraulis encrasicholus,anchovy,6.2
Engraulis encrasicholus,anchovy,10.3
Engraulis encrasicholus,anchovy,9.8
Engraulis encrasicholus,anchovy,8.2
Engraulis encrasicholus,anchovy,6.7
Engraulis encrasicholus,anchovy,7.9
Sardina pilchardus,sardine,5.9
Sardina pilchardus,sardine,6.2
Sardina pilchardus,sardine,4.4
Sardina pilchardus,sardine,5.7
Sardina pilchardus,sardine,2
Sardina pilchardus,sardine,8.3
Sardina pilchardus,sardine,2.2
Sardina pilchardus,sardine,2.6
Sardina pilchardus,sardine,1.8
Sardina pilchardus,sardine,1.8
Sardina pilchardus,sardine,2.2
Sardina pilchardus,sardine,2.2
Sardina pilchardus,sardine,2
Sardina pilchardus,sardine,0.8
Sardina pilchardus,sardine,6.2
Sardina pilchardus,sardine,6.8
Sardina pilchardus,sardine,5.8
Sardina pilchardus,sardine,6.9
Sardina pilchardus,sardine,5.1
Sardina pilchardus,sardine,5.8
Sardina pilchardus,sardine,8.5
Sardina pilchardus,sardine,5.9
Sardina pilchardus,sardine,6.2
Sardina pilchardus,sardine,2.5
Sardina pilchardus,sardine,5.2
Sardina pilchardus,sardine,8.3
Sardina pilchardus,sardine,2.1
Sardina pilchardus,sardine,1.9
Sardina pilchardus,sardine,1.9
Sardina pilchardus,sardine,7.4
Sardina pilchardus,sardine,1.8
Sardina pilchardus,sardine,2.3
Sardina pilchardus,sardine,2.1
Sardina pilchardus,sardine,2.7
Sardina pilchardus,sardine,2.4
Sardina pilchardus,sardine,9.2
Sardina pilchardus,sardine,8
Sardina pilchardus,sardine,2.3
Sardina pilchardus,sardine,2.3
Sardina pilchardus,sardine,2.1
Sardina pilchardus,sardine,2.5
Sardina pilchardus,sardine,2.1
Sardina pilchardus,sardine,5.7
Sardina pilchardus,sardine,6.4
Sardina pilchardus,sardine,2.8
Sardina pilchardus,sardine,2.5
Sardina pilchardus,sardine,1.8
Sardina pilchardus,sardine,1.9
Sardina pilchardus,sardine,1.4
Sardina pilchardus,sardine,1.5
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,3
Sardina pilchardus,sardine,7.6
Sardina pilchardus,sardine,5.8
Sardina pilchardus,sardine,6.2
Sardina pilchardus,sardine,8
Sardina pilchardus,sardine,3.5
Sardina pilchardus,sardine,1.6
Sardina pilchardus,sardine,10.8
Sardina pilchardus,sardine,11.1
Sardina pilchardus,sardine,4.6
Sardina pilchardus,sardine,8.7
Sardina pilchardus,sardine,10.4
Sardina pilchardus,sardine,9.6
Sardina pilchardus,sardine,11.6
Sardina pilchardus,sardine,11.9
Sardina pilchardus,sardine,9.3
Sardina pilchardus,sardine,7.6
Sardina pilchardus,sardine,10.4
Sardina pilchardus,sardine,3.3
Sardina pilchardus,sardine,12.8
Sardina pilchardus,sardine,10.3
Sardina pilchardus,sardine,8.4
Sardina pilchardus,sardine,14.1
Sardina pilchardus,sardine,9.2
Sardina pilchardus,sardine,13.5
Sardina pilchardus,sardine,10.6
Sardina pilchardus,sardine,8.7
Sardina pilchardus,sardine,9.7
Sardina pilchardus,sardine,10.8
Sardina pilchardus,sardine,10.1
Sardina pilchardus,sardine,9.4
